model;brand;body_type;segment;usable_battery_kwh;real_range_km;efficiency_wh_km;zero_to_100_s;top_speed_kmh;towing_capacity_kg;price;charging_time_min;max_charging_power_kw;horsepower_hp;torque_nm;maintenance_cost_eur_year;seating_capacity;boot_capacity_l;adas_level;safety_rating_ncap;usage_type;energy_cost_eur_100km;insurance_rating;powertrain_type;fuel_type
Fiat A4;Fiat;Sedan;B;1,8;640;500;9,9;239;919;34769;0;0;156;219;635;5;462;1;5;Personal;10,55;4;Hybrid;Hybride Essence
DS Automobiles KK-3;DS Automobiles;Hatchback;D;0;916;633;9,7;250;728;56151;0;0;203;335;463;5;464;1;4;Personal;10,44;4;Diesel;Diesel
Jaguar II-3;Jaguar;SUV;B;0;636;700;8,4;250;1900;38465;0;0;193;307;548;6;615;1;5;Personal;13,57;3;Essence;Essence
Hyundai SS4;Hyundai;SUV;D;1,9;900;443;8,3;250;1625;63010;0;0;217;298;729;5;558;1;4;Commercial;7,62;6;Hybrid;Hybride Essence
Jaguar G11;Jaguar;Crossover;E;0;1100;450;7,5;250;1512;80075;0;0;256;383;445;6;680;2;5;Personal;6,71;7;Diesel;Diesel
Land Rover I22;Land Rover;SUV;C;0;1022;450;9,9;250;1776;48737;0;0;186;266;561;7;542;1;4;Commercial;8,44;3;Essence;Essence
Volvo W3;Volvo;Hatchback;B;0;936;458;11,3;195;693;26979;0;0;70;102;309;5;443;0;5;Personal;8,76;1;Essence;Essence
Opel V2x;Opel;Crossover;A;1,9;900;416;8,9;234;1649;37225;0;0;183;323;508;7;444;1;3;Personal;7,15;5;Hybrid;Hybride Essence
Kia GG5;Kia;Hatchback;A;11,7;717;500;11,1;184;854;25887;33;0;75;120;399;5;432;0;5;Commercial;6,86;1;Hybrid;Hybride Essence
Mazda HH-66;Mazda;Convertible;B;1;900;448;9;236;122;36767;0;0;188;282;608;3;245;1;4;Personal;7,7;3;Hybrid;Hybride Essence
Seat WW3;Seat;Hatchback;C;0;851;529;8,3;250;711;45248;0;0;203;364;537;5;316;1;4;Personal;10,1;3;Essence;Essence
BMW U7 Pro;BMW;SUV;C;1,5;900;443;10,8;228;1777;42565;0;0;149;221;386;7;596;1;5;Commercial;7,61;4;Hybrid;Hybride Essence
Hyundai 333;Hyundai;MPV;B;0;1100;450;10,5;211;1344;30993;0;0;113;231;750;6;956;0;4;Personal;6,08;2;Diesel;Diesel
Peugeot G44;Peugeot;Crossover;B;0;874;528;11,2;220;1705;31533;0;0;126;256;597;7;503;1;5;Personal;8,71;2;Diesel;Diesel
Porsche N6 Pro;Porsche;Crossover;E;1;900;343;6,6;250;1692;81531;0;0;300;493;748;6;553;2;5;Personal;5,9;7;Hybrid;Hybride Essence
Peugeot UU7;Peugeot;Crossover;B;0,9;900;312;11,1;211;1559;28783;0;0;100;156;379;6;641;0;4;Commercial;5,36;3;Hybrid;Hybride Essence
Mercedes-Benz BB-4;Mercedes-Benz;Hatchback;C;0;746;573;9,3;214;705;39121;0;0;141;241;487;5;328;1;4;Personal;10,95;4;Essence;Essence
Ford K3 Pro;Ford;Crossover;C;1,8;900;500;11,3;223;1583;44039;0;0;157;230;664;7;490;1;5;Personal;8,62;4;Hybrid;Hybride Essence
Audi HH1;Audi;Convertible;A;0;745;501;10,3;175;91;25043;0;0;70;119;452;4;224;0;5;Personal;8,27;2;Diesel;Diesel
Renault E-Class;Renault;Pickup;E;16;900;414;9,7;250;2452;70639;33;0;233;327;589;4;0;1;4;Personal;5;5;Hybrid;Hybride Diesel
Lexus GG-22;Lexus;SUV;B;0;513;700;10,5;209;1777;36060;0;0;120;172;514;6;482;1;4;Personal;13,82;3;Essence;Essence
Mini WW-22;Mini;SUV;D;1,8;900;500;8,7;243;2166;62800;0;0;219;300;298;6;625;1;4;Commercial;8,96;6;Hybrid;Hybride Essence
Renault R77;Renault;Wagon;C;1,3;874;488;10,5;198;1152;40502;0;0;139;241;525;5;673;1;4;Personal;8,39;3;Hybrid;Hybride Essence
Opel M8 Pro;Opel;Crossover;D;0;1100;497;8,7;244;1602;56985;0;0;193;251;516;5;480;1;4;Personal;9,5;5;Essence;Essence
Kia P3 Pro;Kia;Sedan;D;0,9;900;450;9,8;250;838;56857;0;0;189;286;544;5;555;1;5;Sports;7,73;5;Hybrid;Hybride Essence
Cupra XX6;Cupra;Hatchback;D;0;930;587;9;250;685;60055;0;0;242;359;509;5;424;2;5;Personal;11,22;6;Essence;Essence
Volvo X8 Pro;Volvo;Hatchback;C;1,3;900;328;9,7;245;589;42376;0;0;166;248;395;5;340;1;5;Personal;5,64;4;Hybrid;Hybride Essence
Audi QQ-55;Audi;SUV;C;0;1100;450;9,5;242;1690;44202;0;0;189;325;466;6;548;1;5;Personal;8,22;4;Essence;Essence
Volkswagen V1x;Volkswagen;Hatchback;D;0;711;700;11,6;207;774;49542;0;0;122;209;460;5;429;1;4;Personal;15,51;4;Essence;Essence
Peugeot HH-4;Peugeot;Hatchback;C;0;845;597;10;235;760;42912;0;0;173;324;677;5;364;1;4;Personal;9,85;3;Diesel;Diesel
Mercedes-Benz HH-77;Mercedes-Benz;Hatchback;C;0;788;594;9,2;244;921;48386;0;0;169;278;484;5;319;1;4;Personal;11,34;3;Essence;Essence
Subaru KK-7;Subaru;MPV;B;0;1100;450;10,9;232;1203;33698;0;0;124;244;588;6;886;1;5;Sports;6,21;3;Diesel;Diesel
Mercedes-Benz T3x;Mercedes-Benz;Hatchback;B;0;820;570;10,4;199;719;30363;0;0;108;186;589;5;359;0;4;Personal;9,41;2;Diesel;Diesel
Volvo II9;Volvo;Hatchback;C;13,5;900;358;9,3;229;695;46302;51;0;164;250;483;5;441;1;3;Personal;5;4;Hybrid;Hybride Essence
Honda 222;Honda;SUV;A;1,2;792;461;10,4;223;1683;28684;0;0;145;206;653;5;759;1;4;Commercial;7,92;3;Hybrid;Hybride Essence
Toyota P-Class;Toyota;Sedan;C;0;876;526;10;203;971;38786;0;0;112;182;522;5;395;0;4;Personal;8,68;3;Diesel;Diesel
Renault HH1;Renault;Pickup;A;1,9;900;464;10,1;215;2480;30469;0;0;143;253;468;4;0;1;4;Personal;6,89;3;Hybrid;Hybride Diesel
Ford RR-66;Ford;MPV;C;0;767;610;10,3;227;1028;43879;0;0;158;265;677;8;573;1;4;Personal;11,64;4;Essence;Essence
Suzuki P8x;Suzuki;SUV;D;0,9;900;500;10,2;243;1933;66425;0;0;205;312;589;5;548;1;5;Commercial;9,84;5;Hybrid;Hybride Essence
Hyundai O6x;Hyundai;SUV;C;0;983;467;10,4;234;1731;41365;0;0;151;230;304;7;697;1;4;Commercial;7,71;4;Diesel;Diesel
Mercedes-Benz LL-55;Mercedes-Benz;SUV;D;1,7;900;500;8;250;1840;63360;0;0;217;363;261;7;452;1;4;Personal;8,63;5;Hybrid;Hybride Essence
Mercedes-Benz A3x;Mercedes-Benz;Hatchback;A;0;946;450;8,9;232;744;32339;0;0;171;350;794;5;303;1;4;Personal;7,31;2;Diesel;Diesel
Aston Martin HH-55;Aston Martin;Sedan;A;0;580;686;11,8;222;925;24260;0;0;104;183;522;5;575;0;4;Personal;13,1;3;Essence;Essence
Seat 222;Seat;Hatchback;D;0;928;619;9,6;225;579;51889;0;0;152;252;521;5;421;1;4;Personal;11,82;3;Essence;Essence
Opel R-Class;Opel;Hatchback;D;0;915;615;8,5;235;868;56201;0;0;188;350;346;5;328;1;4;Personal;10,14;5;Diesel;Diesel
Volvo V2 Pro;Volvo;Crossover;D;1,9;900;500;9,1;243;1413;53466;0;0;169;230;534;7;502;1;4;Personal;9,87;4;Hybrid;Hybride Essence
Mazda H-Class;Mazda;Hatchback;D;0;1016;577;11,1;196;405;50132;0;0;114;154;392;5;419;0;3;Personal;11,02;5;Essence;Essence
Dacia 666;Dacia;Hatchback;D;0;990;590;10,2;229;802;49029;0;0;144;206;498;5;349;1;4;Personal;11,28;1;Essence;Essence
Citroën S4;Citroën;SUV;D;0;950;582;9,6;250;1898;55988;0;0;195;308;479;5;498;1;5;Personal;11,11;4;Essence;Essence
Aston Martin GG6;Aston Martin;SUV;D;0;1075;533;8,5;250;1657;62727;0;0;241;423;560;5;637;2;4;Personal;10,17;6;Essence;Essence
Volkswagen K-Class;Volkswagen;Hatchback;D;0;763;662;8;250;699;61597;0;0;230;399;611;5;317;1;4;Personal;12,65;4;Essence;Essence
Toyota XX-3;Toyota;Hatchback;A;0;513;668;10,3;175;830;19362;0;0;70;102;537;5;518;0;4;Personal;12,77;2;Essence;Essence
Nissan I1 Pro;Nissan;Sedan;A;0;966;450;10,8;199;1069;24243;0;0;73;125;536;5;558;0;3;Personal;6,12;1;Diesel;Diesel
Mercedes-Benz K-Class;Mercedes-Benz;Sedan;C;0;860;528;10,8;201;973;33896;0;0;107;156;527;5;436;0;5;Personal;10,09;3;Essence;Essence
Audi N1x;Audi;Coupe;C;13,5;900;300;10,6;189;599;34678;48;0;70;110;278;4;372;0;5;Personal;5;2;Hybrid;Hybride Essence
Fiat VV-99;Fiat;MPV;D;0;1100;450;10;242;1286;49291;0;0;183;312;550;5;776;1;5;Personal;7,65;5;Essence;Essence
Dacia N44;Dacia;SUV;C;0;674;669;8,9;236;1784;45998;0;0;177;300;581;7;544;1;4;Personal;12,77;4;Essence;Essence
Lexus ZZ-4;Lexus;SUV;B;0;979;450;9,8;206;1669;29551;0;0;105;183;503;6;590;0;4;Personal;8,5;2;Essence;Essence
Porsche HH-99;Porsche;Wagon;D;0;1100;491;10,2;226;1169;51157;0;0;139;217;712;5;809;1;4;Personal;9,38;4;Essence;Essence
Ford P8 Pro;Ford;Crossover;B;8,1;900;390;11,2;205;1635;32818;46;0;106;173;482;6;656;0;4;Personal;5;3;Hybrid;Hybride Diesel
Ferrari CC6;Ferrari;Sedan;D;0;1053;527;10,4;236;1034;55452;0;0;177;314;397;5;471;1;4;Personal;10,06;4;Essence;Essence
Kia OO-7;Kia;Hatchback;B;0,8;791;500;8,7;222;724;41712;0;0;171;280;552;5;505;1;3;Personal;8,92;4;Hybrid;Hybride Essence
Volkswagen PP-8;Volkswagen;SUV;C;0;864;540;11,1;212;1760;38351;0;0;138;190;464;6;476;1;5;Personal;10,31;4;Essence;Essence
Mercedes-Benz A6 Pro;Mercedes-Benz;Crossover;C;1,3;900;500;9,4;244;1708;42449;0;0;195;286;360;6;564;1;4;Personal;8,28;3;Hybrid;Hybride Diesel
Ford T33;Ford;Hatchback;C;0;908;496;9,8;221;715;40233;0;0;142;190;498;5;359;1;4;Personal;9,48;3;Essence;Essence
Ford Z-Class;Ford;Sedan;A;0,8;817;477;10,8;191;976;29237;0;0;124;169;702;5;598;1;4;Commercial;7,08;2;Hybrid;Hybride Diesel
Peugeot WW-66;Peugeot;Sedan;B;1,2;846;490;11,6;209;755;31061;0;0;102;158;467;5;426;0;4;Commercial;8,42;1;Hybrid;Hybride Essence
Koenigsegg HH7;Koenigsegg;Sedan;C;17,9;900;433;9,1;225;893;41170;47;0;143;238;666;5;600;1;3;Personal;5,47;3;Hybrid;Hybride Essence
Lexus W7x;Lexus;SUV;C;0;667;670;10,7;190;1930;34724;0;0;95;132;593;5;725;0;4;Commercial;12,81;2;Essence;Essence
Mini K6 Pro;Mini;Crossover;D;0;1100;450;8,6;246;1336;59443;0;0;214;313;862;6;717;1;5;Commercial;7,79;7;Essence;Essence
Lexus T1;Lexus;SUV;A;0;717;571;11,3;188;1795;27279;0;0;93;158;610;7;590;0;4;Personal;9,41;2;Diesel;Diesel
Fiat E66;Fiat;Sedan;C;1,2;900;421;12,2;169;949;34903;0;0;70;120;501;5;439;0;4;Personal;7,24;2;Hybrid;Hybride Essence
Seat N4x;Seat;Hatchback;A;0;594;611;10,7;201;871;26433;0;0;109;152;526;5;339;0;4;Personal;11,66;3;Essence;Essence
Fiat C9x;Fiat;Coupe;E;0;1100;495;7,5;250;617;73976;0;0;289;381;657;2;326;2;4;Personal;9,46;6;Essence;Essence
Mazda G8x;Mazda;SUV;D;1,3;900;455;9,7;250;2003;53325;0;0;183;294;528;5;486;1;4;Personal;7,83;4;Hybrid;Hybride Essence
Mini 888;Mini;Hatchback;F;0,8;900;436;6,3;250;800;109197;0;0;364;569;608;5;374;3;3;Personal;7,49;8;Hybrid;Hybride Essence
Alfa Romeo C-Class;Alfa Romeo;Sedan;E;0;1026;600;7,2;250;1007;70827;0;0;242;314;650;5;486;2;4;Personal;11,46;5;Essence;Essence
Peugeot 999;Peugeot;Coupe;C;1,2;900;356;11,4;194;385;35267;0;0;85;143;425;3;234;0;4;Personal;6,13;2;Hybrid;Hybride Essence
Peugeot B88;Peugeot;Wagon;D;0;1100;471;8,4;250;1082;60552;0;0;283;492;446;5;681;2;4;Personal;7,77;5;Diesel;Diesel
Hyundai F4;Hyundai;Convertible;C;0;1022;450;10,9;239;202;43176;0;0;137;215;375;2;245;1;3;Personal;8,47;4;Essence;Essence
Ford 555;Ford;Crossover;E;0;992;644;7,3;250;1446;77096;0;0;273;514;861;6;472;2;5;Personal;10,62;6;Diesel;Diesel
Mercedes-Benz HH-5;Mercedes-Benz;SUV;C;1,7;900;500;10,4;204;1735;45501;0;0;145;192;499;7;628;1;5;Personal;7,62;3;Hybrid;Hybride Diesel
BMW C8 Pro;BMW;SUV;C;1,4;900;312;10,8;232;1523;46446;0;0;158;219;637;6;658;1;4;Personal;5,36;4;Hybrid;Hybride Essence
Lexus M9;Lexus;Sedan;E;0;1100;486;9,5;250;1027;76464;0;0;271;478;579;5;535;2;3;Personal;8,01;6;Diesel;Diesel
Audi F6;Audi;Crossover;D;0;890;589;10,3;223;1366;50074;0;0;148;206;646;5;506;1;4;Sports;11,25;1;Essence;Essence
Ford N3x;Ford;Crossover;F;0;1100;450;6,4;250;1402;119458;0;0;403;629;790;5;529;3;5;Commercial;7,21;9;Diesel;Diesel
Opel 999;Opel;Hatchback;A;0;828;475;9,8;218;831;30266;0;0;124;181;763;5;505;1;3;Personal;9,07;3;Essence;Essence
Audi Q2x;Audi;Convertible;B;1,4;743;500;9,1;242;0;37460;0;0;161;243;704;4;191;1;3;Commercial;8,69;4;Hybrid;Hybride Essence
Rolls-Royce G3x;Rolls-Royce;SUV;C;0;925;518;10,5;223;1963;39189;0;0;154;306;681;7;560;1;3;Personal;8,55;2;Diesel;Diesel
Audi KK-7;Audi;Hatchback;C;0;884;496;9,4;203;600;36963;0;0;115;183;448;5;364;0;4;Personal;9,48;2;Essence;Essence
Citroën FF-55;Citroën;SUV;C;0;876;542;9,5;250;1782;42275;0;0;186;329;421;6;539;1;4;Personal;10,35;4;Essence;Essence
Audi RR-8;Audi;Convertible;C;0,9;900;452;10,1;238;0;45900;0;0;194;297;550;2;295;1;5;Personal;7,77;3;Hybrid;Hybride Essence
Mercedes-Benz G-Class;Mercedes-Benz;MPV;D;0;1100;451;10;238;1040;54955;0;0;174;267;557;7;948;1;5;Commercial;8,62;4;Essence;Essence
Volkswagen P22;Volkswagen;SUV;B;0;747;516;11,7;192;1709;26806;0;0;72;104;444;7;770;0;5;Personal;9,85;2;Essence;Essence
Volkswagen U4x;Volkswagen;MPV;D;1,9;900;396;9,9;216;1101;57997;0;0;152;204;626;5;596;1;5;Commercial;6,8;5;Hybrid;Hybride Essence
Audi L8 Pro;Audi;Convertible;E;0;1004;609;8,1;250;0;76280;0;0;251;348;610;4;189;2;3;Personal;11,62;6;Essence;Essence
Volkswagen PP-11;Volkswagen;Coupe;C;0;863;574;11,3;226;685;44256;0;0;150;230;590;3;359;1;4;Personal;9,47;2;Diesel;Diesel
Toyota 888;Toyota;Coupe;C;0;689;684;9,8;250;384;47048;0;0;207;394;807;3;236;1;5;Personal;11,29;4;Diesel;Diesel
Honda XX5;Honda;SUV;B;0;1043;450;10,2;220;1574;39309;0;0;170;288;614;7;745;1;3;Personal;7,24;5;Diesel;Diesel
Seat U3x;Seat;Wagon;B;10,8;900;305;10,2;219;952;34155;33;0;142;186;372;5;524;1;4;Personal;5;3;Hybrid;Hybride Essence
Opel H3x;Opel;Crossover;D;0;1100;450;8,8;250;1552;55749;0;0;202;389;744;7;626;1;4;Personal;6,08;5;Diesel;Diesel
Volvo P7x;Volvo;Wagon;C;0;869;573;11,2;219;992;41787;0;0;114;187;593;5;700;0;4;Personal;9,44;3;Diesel;Diesel
Mini X22;Mini;Hatchback;A;0;575;615;10,1;213;679;27942;0;0;132;231;497;5;492;1;4;Personal;11,75;2;Essence;Essence
Vauxhall X1x;Vauxhall;Wagon;F;0;1100;459;7,3;250;1436;111573;0;0;318;544;526;5;569;2;4;Sports;8,77;7;Essence;Essence
Volkswagen FF-5;Volkswagen;MPV;D;0;803;700;9,3;250;1222;58787;0;0;214;311;730;7;538;1;4;Personal;13,7;4;Essence;Essence
Renault K2 Pro;Renault;Sedan;D;0;774;700;8,7;250;939;63719;0;0;237;336;795;5;567;1;4;Personal;14,4;6;Essence;Essence
Peugeot QQ-7;Peugeot;Pickup;C;0;972;494;11,1;235;2436;39568;0;0;137;284;502;4;0;1;4;Personal;8,15;2;Diesel;Diesel
Peugeot D6 Pro;Peugeot;SUV;F;1,2;900;477;6,5;250;1798;108171;0;0;312;533;673;5;590;2;5;Personal;8,19;9;Hybrid;Hybride Essence
Toyota 999;Toyota;Sedan;B;1,5;900;403;8,6;250;874;46895;0;0;239;421;646;5;578;1;4;Personal;6,93;4;Hybrid;Hybride Essence
Fiat OO8;Fiat;Hatchback;B;0;1019;450;11,2;208;737;37154;0;0;154;231;383;5;362;1;4;Personal;7,4;3;Diesel;Diesel
Volkswagen I44;Volkswagen;Wagon;E;0;749;700;9,1;250;1399;69120;0;0;239;382;588;5;699;1;4;Personal;14,13;5;Essence;Essence
Seat B8 Pro;Seat;Crossover;E;0;1100;450;7,4;250;1449;77906;0;0;300;429;421;7;605;2;5;Sports;7,97;7;Essence;Essence
Saab C8;Saab;Sedan;C;0;804;573;10,5;240;805;42540;0;0;148;253;586;5;492;1;4;Personal;9,46;3;Diesel;Diesel
Mercedes-Benz L7x;Mercedes-Benz;Crossover;B;1,6;900;405;9,9;209;1491;33852;0;0;153;206;813;5;633;1;4;Commercial;6,96;3;Hybrid;Hybride Essence
Ford NN-1;Ford;SUV;C;1,5;900;476;10,9;220;1915;45385;0;0;147;247;364;6;648;1;4;Personal;7,06;3;Hybrid;Hybride Diesel
Volkswagen I2;Volkswagen;SUV;D;0,9;900;394;9,4;247;1759;63688;0;0;214;335;804;5;608;1;3;Personal;6,77;5;Hybrid;Hybride Essence
Aston Martin L88;Aston Martin;Convertible;D;0;922;671;8,7;228;32;55702;0;0;194;378;830;2;213;1;5;Personal;11,07;4;Diesel;Diesel
BMW PP-22;BMW;Crossover;C;0;952;508;10,7;222;1561;36557;0;0;115;156;518;7;478;0;5;Personal;9,69;3;Essence;Essence
Vauxhall 444;Vauxhall;Wagon;A;0;729;503;10,8;200;1458;27764;0;0;115;237;631;5;777;0;5;Commercial;8,29;3;Diesel;Diesel
Land Rover EE-88;Land Rover;Crossover;D;0;1100;514;10;250;1611;51260;0;0;164;242;515;5;728;1;5;Personal;9,82;4;Essence;Essence
Cupra F-Class;Cupra;Pickup;D;0;1100;469;8,9;250;2395;57904;0;0;228;466;583;3;0;1;4;Personal;7,73;6;Diesel;Diesel
Ford U2;Ford;Sedan;C;17,7;821;500;10,2;229;637;43319;55;0;158;259;569;5;543;1;5;Personal;6,75;4;Hybrid;Hybride Essence
Kia K22;Kia;Sedan;C;0;1100;461;11,2;170;918;37797;0;0;91;142;462;5;415;0;4;Sports;7,6;3;Diesel;Diesel
Nissan Z7 Pro;Nissan;Hatchback;F;0;1100;500;6,3;250;615;110874;0;0;345;583;714;5;331;2;4;Commercial;9,56;8;Essence;Essence
Kia C11;Kia;Crossover;B;1;762;482;9,5;250;1442;34213;0;0;166;262;554;7;558;1;5;Personal;8,28;5;Hybrid;Hybride Essence
Mercedes-Benz E-Class;Mercedes-Benz;Crossover;C;0;1043;450;8,4;250;1380;52752;0;0;235;328;463;6;524;1;5;Personal;8,22;6;Essence;Essence
Toyota FF4;Toyota;Wagon;C;17,3;900;453;9,7;233;1139;44329;40;0;171;238;638;5;588;1;4;Personal;5,14;3;Hybrid;Hybride Diesel
Volvo W9;Volvo;SUV;C;8,2;900;365;9,4;231;1737;47250;54;0;177;315;645;5;627;1;3;Personal;5;4;Hybrid;Hybride Essence
Mini PP-1;Mini;Hatchback;E;0;1100;493;8,4;250;686;82357;0;0;284;588;805;5;408;2;5;Commercial;8,14;8;Diesel;Diesel
Lancia V2 Pro;Lancia;Crossover;C;11,8;900;418;8,4;250;1419;45729;49;0;211;335;519;7;730;1;5;Personal;5;5;Hybrid;Hybride Diesel
Seat X5x;Seat;Pickup;C;0;882;520;8,2;250;2414;49673;0;0;198;318;742;3;0;1;4;Personal;8,58;4;Diesel;Diesel
Nissan BB-11;Nissan;Sedan;B;15,8;900;479;11,1;240;964;38527;56;0;153;225;802;5;568;1;4;Sports;6,23;3;Hybrid;Hybride Essence
Citroën N4;Citroën;Sedan;D;0;1085;478;8,9;250;900;56708;0;0;189;265;567;5;419;1;5;Personal;9,13;5;Essence;Essence
Audi MM-4;Audi;Sedan;B;0;837;533;10,7;230;901;31742;0;0;149;238;553;5;519;1;4;Personal;10,18;2;Essence;Essence
Lamborghini CC-1;Lamborghini;SUV;A;10,9;900;313;11;187;1794;33497;37;0;112;168;599;6;476;0;4;Personal;5;2;Hybrid;Hybride Essence
Fiat A1x;Fiat;Sedan;C;0;628;655;10,5;185;793;35406;0;0;93;139;246;5;619;0;3;Personal;12,51;2;Essence;Essence
Peugeot GG2;Peugeot;SUV;C;0;950;492;10,8;193;1972;38416;0;0;100;195;396;5;499;0;3;Personal;8,12;3;Diesel;Diesel
Skoda DD-3;Skoda;Crossover;F;0;1100;600;6,9;250;1744;112684;0;0;323;662;628;6;743;2;5;Personal;9,9;9;Diesel;Diesel
Skoda B77;Skoda;SUV;D;0;991;534;9,5;250;1949;60089;0;0;195;272;526;5;536;1;3;Personal;10,2;4;Essence;Essence
Opel D6 Pro;Opel;SUV;D;0;869;667;7,2;250;1588;69596;0;0;289;435;637;5;819;2;5;Personal;12,73;6;Essence;Essence
Seat SS4;Seat;Hatchback;C;0;880;567;9,8;232;621;41410;0;0;155;280;625;5;434;1;5;Personal;9,35;4;Diesel;Diesel
Honda SS-7;Honda;MPV;C;0;903;507;9,8;238;1285;39920;0;0;162;265;432;5;777;1;4;Personal;8,36;3;Diesel;Diesel
Opel D4x;Opel;SUV;F;0;1100;578;7,8;250;1710;110867;0;0;319;550;830;7;461;2;4;Personal;9,53;6;Diesel;Diesel
Porsche DD-6;Porsche;SUV;C;1,1;900;390;9;242;1716;53277;0;0;195;259;607;5;719;1;5;Personal;6,71;6;Hybrid;Hybride Essence
Rolls-Royce FF1;Rolls-Royce;Hatchback;D;0;1052;531;8,6;244;535;63548;0;0;201;266;578;5;307;1;5;Personal;10,14;6;Essence;Essence
Maserati V6x;Maserati;Crossover;C;0;1026;467;10,2;202;1457;39148;0;0;119;202;581;6;597;0;4;Personal;8,93;4;Essence;Essence
Opel N4;Opel;Convertible;B;0;690;700;11,2;202;0;28051;0;0;90;151;480;3;305;0;4;Personal;11,79;2;Diesel;Diesel
Koenigsegg HH-22;Koenigsegg;Hatchback;C;1,2;900;466;8,9;222;413;44877;0;0;154;255;514;5;465;1;4;Commercial;8,01;3;Hybrid;Hybride Essence
Vauxhall V-Class;Vauxhall;Hatchback;B;1,8;842;472;11,4;180;838;28809;0;0;106;143;384;5;326;0;4;Personal;8,12;1;Hybrid;Hybride Essence
Mazda C4;Mazda;Hatchback;A;0;624;575;11,2;200;750;22117;0;0;81;132;234;5;336;0;4;Personal;10,98;2;Essence;Essence
Ford K8x;Ford;Crossover;B;1,5;900;339;10,3;237;1340;36079;0;0;146;237;509;7;531;1;5;Personal;5,04;3;Hybrid;Hybride Diesel
Koenigsegg 999;Koenigsegg;MPV;B;1;900;346;10,6;213;1304;33743;0;0;120;205;729;8;864;0;4;Commercial;5,94;3;Hybrid;Hybride Essence
Nissan I22;Nissan;SUV;C;0,9;858;481;8,3;250;1815;55061;0;0;228;320;519;5;583;1;4;Personal;8,26;5;Hybrid;Hybride Essence
Citroën VV7;Citroën;SUV;E;0;1100;469;6,7;250;1939;90218;0;0;311;564;500;5;673;2;5;Personal;7,74;8;Diesel;Diesel
Hyundai L33;Hyundai;Wagon;C;0;1100;450;9,6;215;1288;45615;0;0;151;304;658;5;818;1;4;Personal;6,5;3;Diesel;Diesel
Renault WW8;Renault;Wagon;D;0;1028;565;9,1;239;1107;52288;0;0;151;214;483;5;781;1;4;Personal;10,8;4;Essence;Essence
Honda 111;Honda;Sedan;C;0;971;450;10,3;213;980;41220;0;0;144;196;589;5;599;1;4;Sports;8,14;4;Essence;Essence
Mini NN-99;Mini;Hatchback;A;0;775;526;11;216;785;24151;0;0;85;125;580;5;491;0;3;Personal;10,05;1;Essence;Essence
Mercedes-Benz RR-1;Mercedes-Benz;SUV;B;14,9;900;378;9,3;230;1927;37089;28;0;137;245;472;5;736;1;5;Personal;5,06;3;Hybrid;Hybride Essence
Nissan AA-2;Nissan;Wagon;E;0;1072;561;8;250;1320;75126;0;0;249;395;699;5;598;2;4;Personal;9,26;6;Diesel;Diesel
BMW H-Class;BMW;Wagon;C;0;888;553;11,2;234;1449;35155;0;0;103;140;508;5;701;0;4;Personal;10,56;2;Essence;Essence
Suzuki UU-2;Suzuki;Crossover;E;0;1100;609;8,8;250;1614;80552;0;0;266;551;424;5;692;2;4;Sports;10,05;6;Diesel;Diesel
BMW E6;BMW;Coupe;C;1,7;852;500;9,1;223;406;41349;0;0;156;233;481;2;297;1;5;Personal;9,39;3;Hybrid;Hybride Essence
Porsche KK-44;Porsche;Sedan;D;1,2;900;500;10,4;240;921;59407;0;0;205;281;473;5;580;1;5;Personal;9,83;5;Hybrid;Hybride Essence
Audi N44;Audi;SUV;D;0;1035;556;8,4;249;1674;55792;0;0;209;379;444;7;612;1;3;Personal;9,17;4;Diesel;Diesel
Dacia H8;Dacia;Hatchback;F;0;937;700;5,9;250;845;106406;0;0;332;499;598;5;505;2;5;Commercial;12,25;8;Diesel;Diesel
Ford EE5;Ford;Convertible;A;0,9;771;500;11,6;200;0;32889;0;0;118;178;601;4;318;0;4;Personal;8,6;3;Hybrid;Hybride Essence
Lexus VV1;Lexus;Crossover;F;1,3;900;500;6,4;250;1768;104835;0;0;329;434;649;6;525;2;4;Personal;7,81;8;Hybrid;Hybride Diesel
Kia O5 Pro;Kia;Sedan;C;0;962;495;10,5;240;865;44868;0;0;174;317;382;5;611;1;4;Personal;8,16;3;Diesel;Diesel
Ford H6;Ford;Hatchback;D;0;1002;555;9,4;241;695;54508;0;0;161;260;413;5;389;1;4;Personal;10,6;6;Essence;Essence
Porsche HH4;Porsche;Wagon;C;0;1100;450;10,4;231;1144;40467;0;0;116;174;572;5;805;0;4;Personal;7,23;3;Diesel;Diesel
Peugeot B4 Pro;Peugeot;Wagon;C;0;670;700;9,9;206;1114;35376;0;0;109;170;515;5;760;0;4;Personal;13,79;3;Essence;Essence
Toyota UU-7;Toyota;Crossover;C;0;549;700;11,3;216;1436;38855;0;0;118;209;482;6;720;0;4;Personal;14,66;3;Essence;Essence
BMW L3 Pro;BMW;Sedan;D;0;986;595;10,6;205;928;54833;0;0;153;265;682;5;595;1;5;Commercial;9,81;3;Diesel;Diesel
Nissan VV-11;Nissan;MPV;B;0;677;593;10,9;195;1202;27465;0;0;70;143;586;6;778;0;5;Personal;9,79;1;Diesel;Diesel
Audi 222;Audi;Wagon;C;0;771;658;9,5;228;1149;46832;0;0;180;369;540;5;551;1;4;Personal;10,86;3;Diesel;Diesel
